row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json,prompt_version,prompt_hash,input_hash,qwen_background_structured,raw_response,structured_object,structured_act,structured_evidence,valid_structure,validation_error,label_like_output,generation_seconds,total_generation_seconds,prompt_tokens,generated_tokens,total_duration_ns,load_duration_ns,attempts,error
douyin-train-000147,douyin,train,147,56697889278,生活日杂,跟你哥发型一样,0,该用户可能在表达对主播当前发型的认可，暗示与某个熟悉的人（如主播的哥哥）相似，从而传递一种亲切感或赞赏。,212,"[""熙宝今天发型很乖"", ""传熙太可爱了"", ""防晒喷雾，防晒喷雾，防晒喷雾"", ""我就是"", ""乘宝贝""]",structured_v2,b17ffdf734c072ae37eaef13ae024e1dd25bd063776c5dc561068dd55ab56ab2,037350a4dcbec2755c4781ca57977186220b1d57aa43eb27ed27c382a0c2070c,对象：熙宝；言语行为：比较；原句证据：跟你哥发型一样,对象：熙宝；言语行为：比较；原句证据：跟你哥发型一样,熙宝,比较,跟你哥发型一样,True,,False,0.8152035000093747,0.8152054999954998,247,23,812847500,32623300,1,
douyin-train-000218,douyin,train,218,56697889278,生活日杂,好吃？,1,该用户可能在询问主播展示的食品（如苹果或鳕鱼）的口感和味道如何，以此判断是否值得购买。,312,"[""主播介绍一下，苹果烤奶做法？？？"", ""昨天刚下了一单"", ""玲珑杯可以上一批"", ""小果多大"", ""今天喝了""]",structured_v2,67135262694d5823e245c3f5f661ac5b374ab8e2ec874648bd2d5d04af5c83ce,1ae3f7ed258abbd901ec7f67cccd3c8e6da44c6c33780404496867c7342b59c9,对象：未指明；言语行为：评价；原句证据：好吃？,对象：未指明；言语行为：评价；原句证据：好吃？,未指明,评价,好吃？,True,,False,0.7844648000027519,0.7844669000187423,244,22,780855200,38869400,1,
douyin-train-000222,douyin,train,222,56697889278,生活日杂,苹果烤奶的杯子在几号？,1,该用户想询问苹果烤奶配套的杯子商品在直播间的上架序号或购买链接位置。,318,"[""苹果烤奶有成品吗？"", ""贝贝，烤奶，空气炸锅烤多长时间？"", ""折耳根好吃的很呀"", ""这个苹果好吃"", ""折耳根太好吃""]",structured_v2,1b9dddb0005c09a6ba58a65869c30d4c906bdd543e205d02c554851c60aea6be,f46d4fb482016938efd0781c42f940b6e535e0c263a940a7f237ce8ce3e89639,对象：苹果烤奶；言语行为：询问；原句证据：苹果烤奶的杯子在几号？,对象：苹果烤奶；言语行为：询问；原句证据：苹果烤奶的杯子在几号？,苹果烤奶,询问,苹果烤奶的杯子在几号？,True,,False,0.9987876999948639,0.9987899000116158,258,29,996075600,23144100,1,
douyin-train-000229,douyin,train,229,56697889278,生活日杂,苹果很脆，大家放心买,1,该用户是在肯定苹果的品质，并推荐其他观众放心购买。,325,"[""刚吃了折耳根"", ""海参介绍一下"", ""今天喝了苹果折耳根水"", ""吃的啥"", ""苹果太大了一个都吃饱了""]",structured_v2,aca8178430004d0f12ba5f32f03b9fccd55c938e979deead3b4faf50f47492f6,ccc5fe3a1e5015956b235057c4d6a580a6edf2b8aae781caf1988c9bbdcd518d,对象：苹果；言语行为：推荐；原句证据：苹果很脆，大家放心买,对象：苹果；言语行为：推荐；原句证据：苹果很脆，大家放心买,苹果,推荐,苹果很脆，大家放心买,True,,False,0.9422421999915969,0.942244000005303,247,25,939208900,32423600,1,
douyin-train-000264,douyin,train,264,56697889278,生活日杂,内蒙古怎么不发,1,该用户可能在询问为何没有内蒙古地区的商品或物流配送选项。,371,"[""小果多大"", ""我也是湖北咸宁赤壁人"", ""小米是那种黄金小米吗？"", ""苹果没有了吗？"", ""中果没有了""]",structured_v2,c8cdde93253a49db40e83282c4771b9ae7c4b7962e824994c918f9118c27cd84,1a65f0ae4a3c88cb6ed34dd952975610fb1f341e51fd8baf3125e7193911b6fb,对象：内蒙古；言语行为：询问；原句证据：内蒙古怎么不发,对象：内蒙古；言语行为：询问；原句证据：内蒙古怎么不发,内蒙古,询问,内蒙古怎么不发,True,,False,0.7875126999861095,0.787514600000577,246,22,783823100,28329000,1,
douyin-train-000274,douyin,train,274,56697889278,生活日杂,看看衣服后面,1,该用户想表达的含义是：希望主播展示一下衣服的背面细节。,381,"[""鲜花还有吗"", ""买了中果"", ""小果是哪个？"", ""大连拍不了"", ""没了""]",structured_v2,64f0a277084fbbeb141da8f952c2f096fd739aa4864d15cd845c82dffea40aa6,241b15ea9d5acc6ace367e611d747da49a79e955285878155369fa99abe380e6,对象：衣服；言语行为：查看；原句证据：看看衣服后面,对象：衣服；言语行为：查看；原句证据：看看衣服后面,衣服,查看,看看衣服后面,True,,False,0.7636090000160038,0.7636106999998447,234,21,760721300,35487200,1,
douyin-train-000276,douyin,train,276,56697889278,生活日杂,小贝感冒了吗,0,该用户可能是在询问主播提到的“小贝”相关产品（如水果品种或商品名称）是否存在质量问题或状态不佳，类似之前弹幕中对其他产品的细节询问。,384,"[""大连拍不了"", ""没了"", ""看看衣服后面"", ""苹果没有了"", ""是净重五斤吗""]",structured_v2,d1dd2d023afd2de170fce2db37277c16b755b39cb181e0a507e9fd2615a1210c,28002bfc4ab2f113f4c665311381d03d3d0bf9b33235bb8ee61930b1d25ba702,对象：小贝；言语行为：询问；原句证据：小贝感冒了吗,对象：小贝；言语行为：询问；原句证据：小贝感冒了吗,小贝,询问,小贝感冒了吗,True,,False,0.8113083000062034,0.8113105000229552,237,23,808648500,27845700,1,
douyin-train-000306,douyin,train,306,56697889278,生活日杂,看一下小果,1,该用户想表达的含义是：请主播展示或详细介绍小规格的苹果产品。,427,"[""主播看一下烤奶，刚民吃的那个？"", ""没货"", ""中午好贝贝"", ""发什么快递"", ""小果也甜""]",structured_v2,3571443204572a44f6432f4b6edf4450e2d783705812352db173c93afcbb9459,325575b361da842a31e66b7af998cab316f64e2b7933ee9340a0a0cb86a5efc7,对象：小果；言语行为：查看；原句证据：看一下小果,对象：小果；言语行为：查看；原句证据：看一下小果,小果,查看,看一下小果,True,,False,0.8017200999893248,0.8017218000022694,242,22,798215700,39846800,1,
douyin-train-000313,douyin,train,313,56697889278,生活日杂,没有苹果啊,1,该用户想表达的含义是：直播间里没有看到他们想找的苹果商品。,437,"[""好可口"", ""讲的好"", ""下单一号商品"", ""衬衣容易起皱不"", ""出来看看衬衫""]",structured_v2,e4afe444083c129b2e7a6d613ac6bf93bbd4e88eaa422392527c545bc0ddb33f,8265ec775fdc848f174e9b76bb4561e26d6697160a3c1faafe8530aaeea25963,对象：商品；言语行为：质疑；原句证据：没有苹果啊,对象：商品；言语行为：质疑；原句证据：没有苹果啊,商品,质疑,没有苹果啊,True,,False,0.7485629000002518,0.748564899986377,238,21,745507200,18365300,1,
douyin-train-000326,douyin,train,326,56697889278,生活日杂,羊角蜜,1,该用户可能在询问直播间是否有售卖羊角蜜这种水果。,452,"[""新来的朋友点点关注不迷路"", ""不错"", ""衬衣有紫色的吗？"", ""我买的小果嘎嘣脆苹果"", ""大家一起点点赞点赞点赞""]",structured_v2,25be946650b2e254cd25e35d7cd560718737cb9ddc677dd3174a59cb4979791a,3274c49195d00645db14eed456ce14192de72efbc0cece511969eece3cfc702f,对象：羊角蜜；言语行为：提及；原句证据：羊角蜜,对象：羊角蜜；言语行为：提及；原句证据：羊角蜜,羊角蜜,提及,羊角蜜,True,,False,0.7490280000201892,0.7490301000070758,249,23,745862200,28474200,1,
douyin-train-000344,douyin,train,344,56697889278,生活日杂,山东甜瓜还是青州弥河银瓜最好吃,0,该用户是在对比不同产地的甜瓜品质，并强调青州弥河银瓜的口感和产地优势。,476,"[""有没有面苹果了？"", ""那种最甜"", ""衬衫看看"", ""小贝，衬衫是浅蓝色么"", ""衬衣能看一下后面吗""]",structured_v2,44b409e089750a15586cc7dc165b42d01ddbcc60f233d6dabfaccc51a371e5ad,75e910f948f3eca8bf34ddd29a74f2464a7b28d7489e43d9102fb11bb02f7e9f,对象：甜瓜；言语行为：评价；原句证据：山东甜瓜还是青州弥河银瓜最好吃,对象：甜瓜；言语行为：评价；原句证据：山东甜瓜还是青州弥河银瓜最好吃,甜瓜,评价,山东甜瓜还是青州弥河银瓜最好吃,True,,False,1.0187683000112884,1.0187704999989364,252,31,1016020600,27243400,1,
douyin-train-000349,douyin,train,349,56697889278,生活日杂,什么瓜,1,该用户可能在询问直播中提到的瓜类产品的具体品种或品质信息。,485,"[""这个是农户还是二手贩子的瓜"", ""哪个甜一点"", ""青州弥河银瓜最好吃！"", ""哪个最甜"", ""羊角蜜还是头茬吗""]",structured_v2,37129eea6516138551d2cebfe8277bacb37fa6a5f42da76f2402862fcfeaa562,19d44b68001f4ce57afce82d9a5a37112d5d33c042f7c49e8e09f8456d28cbc9,对象：未指明；言语行为：询问；原句证据：什么瓜,对象：未指明；言语行为：询问；原句证据：什么瓜,未指明,询问,什么瓜,True,,False,0.8048627999960445,0.8048645000089891,250,22,799395300,34719100,1,
douyin-train-000376,douyin,train,376,56697889278,生活日杂,72号和9号哪个更甜？,1,该用户想询问主播推荐哪一款水果的口感更甜，比较的是72号和9号两个品种。,524,"[""中午好"", ""生活有点甜"", ""看一下衬衫"", ""我家猫也爱吃"", ""衬衣""]",structured_v2,812a5ca2e81bbc8de412ca79c5a8afccf1cdb29712d60ca2bde6dd126de9cf24,0dc59fcc7f7484292ef6d875364c58ccceefb047babea87060bddd0102c82ea9,对象：衬衫；言语行为：询问；原句证据：72号和9号哪个更甜？,对象：衬衫；言语行为：询问；原句证据：72号和9号哪个更甜？,衬衫,询问,72号和9号哪个更甜？,True,,False,1.0053373999835458,1.0053391999972519,239,28,1000774900,45277400,1,
douyin-train-000377,douyin,train,377,56697889278,生活日杂,上一下核桃,1,该用户希望主播尽快上架或展示核桃商品以供购买。,526,"[""看一下衬衫"", ""我家猫也爱吃"", ""衬衣"", ""72号和9号哪个更甜？"", ""几号链接的瓜好吃""]",structured_v2,6cab91b8c7171df80b127090e518c17e1e44433f5d9c9861c59bf8e134e30297,3bd5cfdeed446f1112c186d2d073e97dc40398e19b14eb25412d0b7e99962b0f,对象：核桃；言语行为：上一下；原句证据：上一下核桃,对象：核桃；言语行为：上一下；原句证据：上一下核桃,核桃,上一下,上一下核桃,True,,False,0.7980146999761928,0.798016299988376,243,22,795286500,38510300,1,
douyin-train-000382,douyin,train,382,56697889278,生活日杂,拍不了,1,该用户想表达的含义是：商品缺货无法下单购买。,532,"[""数字代表什么意思？"", ""72号没货了"", ""羊角脆好吃"", ""羊角蜜没货了"", ""蒲公英的饺子好吃吗""]",structured_v2,fb8d97061b9dff63e209324d72cfdc37d630aa6085ed90c791b3aebd344363b3,06789a5e27d42d80e42c4ce8a8bc1085d5e74dc59fd1a2a4a006ba896a67716f,对象：未指明；言语行为：表达无法操作；原句证据：拍不了,对象：未指明；言语行为：表达无法操作；原句证据：拍不了,未指明,表达无法操作,拍不了,True,,False,0.8519387999840546,0.8519407999992836,245,24,849011900,26077300,1,
douyin-train-000403,douyin,train,403,56697889278,生活日杂,看看衬衫,1,该用户想表达的含义是：让主播展示或详细介绍衬衫款式。,562,"[""没货了"", ""好看"", ""衬衣几号链接"", ""博洋几号更甜？"", ""主播最甜""]",structured_v2,cd58fc5d2525797b0e72b04f92fe4fb3faaf0e843fbeb2ca55f671e26400de71,888643d26659f1a7816fdb43ac9fc101193453d8fd2a711f69bff1e321788886,对象：衬衫；言语行为：观看；原句证据：看看衬衫,对象：衬衫；言语行为：观看；原句证据：看看衬衫,衬衫,观看,看看衬衫,True,,False,0.7314993999898434,0.731501100002788,237,20,728486200,22615100,1,
douyin-train-000412,douyin,train,412,56697889278,生活日杂,都甜,0,该用户是在询问主播当前展示的商品中哪一种口感更甜。,576,"[""没了没了没了"", ""保温杯看看"", ""拍不了"", ""没货了"", ""哪个更甜""]",structured_v2,c0f466b0dcd38c809db16c21c4ef7efc64ac77edac0de07652700c90a670f471,f4ef82c756ffbf28df788203818c1b042bcad011e38711e9c7b54f0ddf98ec17,对象：保温杯；言语行为：评价；原句证据：都甜,对象：保温杯；言语行为：评价；原句证据：都甜,保温杯,评价,都甜,True,,False,0.7587812999845482,0.7587829999974929,233,21,756417400,29807000,1,
douyin-train-000533,douyin,train,533,56697889278,生活日杂,小贝的衬衣有吗,1,该用户是在询问主播是否有售卖小贝同款的衬衣。,745,"[""我也是把玉米拿出来单煮"", ""二号瓜哪个要甜一点"", ""美女"", ""这是糯玉米吗"", ""上衣有吗""]",structured_v2,8b083f1249b34b988afd3b52afe539644dbd163dfa51f13d22288c3e20a385a6,987c43ecfb10b67d7f3eafee93d1ade863b5cd90068af93cb4321d2b0b48d70b,对象：衬衣；言语行为：询问；原句证据：小贝的衬衣有吗,对象：衬衣；言语行为：询问；原句证据：小贝的衬衣有吗,衬衣,询问,小贝的衬衣有吗,True,,False,0.9081632999877911,0.9081651000014972,247,26,904815300,21754300,1,
douyin-train-000535,douyin,train,535,56697889278,生活日杂,橱窗里有很多云南的货品,0,该用户可能是在询问或注意到直播间橱窗中展示的云南特产商品，并对此表现出兴趣或好奇。,750,"[""小贝的衬衣有吗"", ""宇辉还在云南吗？"", ""糯玉米蒸煮15分钟"", ""就喜欢微波炉热出来的有嚼劲的"", ""是熟的吗？""]",structured_v2,caea71b971f34723529f24beed966da42f83486bb4694df683c8537f25a9cbac,7325bc8dc2cb84ba3fa01c517dcbfdb2732b9d3ce7d40ee45e99ee1b8ffa8085,对象：云南货品；言语行为：陈述；原句证据：橱窗里有很多云南的货品,对象：云南货品；言语行为：陈述；原句证据：橱窗里有很多云南的货品,云南货品,陈述,橱窗里有很多云南的货品,True,,False,0.9815543000004254,0.9815560000133701,259,28,976788000,30122200,1,
douyin-train-000556,douyin,train,556,56697889278,生活日杂,打印机,1,该用户可能是在询问直播间是否有打印机商品出售或相关产品介绍。,779,"[""没货了"", ""甜甜糯糯的好吃，又复购了"", ""玉米好吃"", ""与辉同行沐光而行一路光明"", ""糖人能吃不""]",structured_v2,1f22c4fe9cf0f070e1c2b708cb166988fdda439dc88f16800883266dcf3c7f46,045640ef02b697cf7dbad68e817262a4f94f34bd38ff6b40c94c00edec6e8978,对象：未指明；言语行为：陈述；原句证据：打印机,对象：未指明；言语行为：陈述；原句证据：打印机,未指明,陈述,打印机,True,,False,0.7629040000028908,0.7629062999913003,247,21,759962700,30417400,1,
douyin-train-000602,douyin,train,602,56697889278,生活日杂,甜吗,1,该用户是在询问直播中展示的水果或甜食的口感是否足够甜。,845,"[""是新鲜的玉米吗？"", ""鲜花饼还上吗？"", ""我是重度玉米爱好者，宇辉家的玉米买过很多次了，都很好吃"", ""嫩吗？"", ""怎么购物车里没有牛肉了""]",structured_v2,89ee2979fc934b3b3540219010f63b6bf8037bafc1b35d1404679dc01bcf8e31,1ab91defb512730c55425ada26e34d97d25dde2d3ef91ab9af4e7ee0d5d2966a,对象：玉米；言语行为：询问；原句证据：甜吗,对象：玉米；言语行为：询问；原句证据：甜吗,玉米,询问,甜吗,True,,False,0.6698516999895219,0.669853500003228,257,20,667933600,30479200,1,
douyin-train-000605,douyin,train,605,56697889278,生活日杂,袋子放微波炉里要去掉的,0,该用户是在询问或提醒使用产品时需要注意的安全事项，暗示对商品的实用性关注和潜在购买意向。,849,"[""怎么购物车里没有牛肉了"", ""甜吗"", ""甜吗？"", ""什么时候有拖地桶呀？"", ""有黄玉米么""]",structured_v2,45b355a0c765b6fdff989786ed2f3b04eaeb8bc1e86ef3c4479da79062e11649,1b7038e7b7f5c7636eb2690d5d2822b17a294dd13908c05d258f411e8e0c8951,对象：袋子；言语行为：提醒；原句证据：袋子放微波炉里要去掉的,对象：袋子；言语行为：提醒；原句证据：袋子放微波炉里要去掉的,袋子,提醒,袋子放微波炉里要去掉的,True,,False,0.9170266999863088,0.9170285000000149,247,27,909594900,28136700,1,
douyin-train-000655,douyin,train,655,56697889278,生活日杂,还有明前茶吗,1,该用户是在询问直播间是否还有清明节前采摘的茶叶库存可供购买。,918,"[""怎么看不到我说的话？"", ""麻将席咋没有"", ""真不错"", ""会不会苦"", ""美贝美贝，吃午饭了没""]",structured_v2,1f3a49a6ea281b55dec79119ea1f1419a80e3a6de84f2b89486a977b8ccaacca,c0dd28a72030969c483f34fed28838f56847439d63e919fb73c41d1a390d7790,对象：商品；言语行为：询问；原句证据：还有明前茶吗,对象：商品；言语行为：询问；原句证据：还有明前茶吗,商品,询问,还有明前茶吗,True,,False,0.8493388000060804,0.8493405999906827,243,23,840273700,31161100,1,
douyin-train-000669,douyin,train,669,56697889278,生活日杂,是不是红薯的口感,1,该用户想询问直播中展示的红薯是否具有软糯香甜的典型口感特征。,939,"[""想买南国纯椰子粉"", ""介绍一下蒲公英饺子吗？"", ""马碲能看看吗"", ""这籽能留着种吗"", ""南瓜是甜糯的吗""]",structured_v2,8f3c38fec9812744b2a0f249f16fded752f7e669d1b6f9ac691e17b5a1bcf710,65fef24945530dd593a1d7086fd3dccbc81ed64300373eba5e441b48c64ce862,对象：红薯；言语行为：询问；原句证据：是不是红薯的口感,对象：红薯；言语行为：询问；原句证据：是不是红薯的口感,红薯,询问,是不是红薯的口感,True,,False,0.794064999994589,0.7940666999784298,253,22,789056300,34813900,1,
douyin-train-000684,douyin,train,684,56697889278,生活日杂,生食鸡蛋，生食鸡蛋,1,该用户可能在询问或提醒主播介绍生食鸡蛋的相关信息，表达了对这款产品的兴趣或需求。,964,"[""上点枸杞"", ""19号"", ""米皮"", ""蚕丝"", ""你们吃鱼啦宇辉捉的鱼""]",structured_v2,65044b3fca3cd3c64fd50bfe03c74639ebea900d267357c32fe097414ea9b577,5c7e03c969673732b1c3e4cde8670d51de33f669a54db652d8dfd26750f06f4f,对象：生食鸡蛋；言语行为：强调；原句证据：生食鸡蛋，生食鸡蛋,对象：生食鸡蛋；言语行为：强调；原句证据：生食鸡蛋，生食鸡蛋,生食鸡蛋,强调,生食鸡蛋，生食鸡蛋,True,,False,0.9322393999900669,0.9322415000060573,243,27,926277200,23081500,1,
douyin-train-000704,douyin,train,704,56697889278,生活日杂,太快,1,该用户可能是在抱怨直播节奏过快，导致自己来不及看清或了解商品信息。,986,"[""大家加油点点赞 大家加油点点赞 大家加油点点赞 大家加油点点赞"", ""下次去哪里"", ""品质不错"", ""为什么你直播也和董一样口气"", ""贝贝南瓜好吃""]",structured_v2,3cc9a1e8124b8afe22c9f72d76b0abd7759053f0b84cf579a7a4cb4a3e75c5c3,374316d03fccb26bd820f1fd40b519f459f7eda9215b13eb823fd4d8dd0b5a42,对象：直播；言语行为：催促；原句证据：太快,对象：直播；言语行为：催促；原句证据：太快,直播,催促,太快,True,,False,0.7455927999981213,0.7455951000156347,256,20,742753500,33760900,1,
douyin-train-000706,douyin,train,706,56697889278,生活日杂,贝贝南瓜单果250g，五斤应该是在十个左右呀，怎么会是 4-8个呢？,0,该用户是在质疑主播关于贝贝南瓜数量的描述存在计算误差，认为五斤按单果重量推算应包含约10个而非主播宣称的4-8个，透露出对产品规格真实性的关注。,989,"[""为什么你直播也和董一样口气"", ""贝贝南瓜好吃"", ""太快"", ""南瓜好吃"", ""5斤有几个""]",structured_v2,bfd46d1f840fc6fd0f5b465df201986117cca283609321bad2999d2b84d0bc72,ed4c1ae0e1adb24b980f4974d7ef44c1588a0f7d19a0eab5ca96d992d8a3f14d,对象：贝贝南瓜；言语行为：解释；原句证据：贝贝南瓜单果250g，五斤应该是在十个左右呀，怎么会是 4-8个呢？,对象：贝贝南瓜；言语行为：解释；原句证据：贝贝南瓜单果250g，五斤应该是在十个左右呀，怎么会是 4-8个呢？,贝贝南瓜,解释,贝贝南瓜单果250g，五斤应该是在十个左右呀，怎么会是 4-8个呢？,True,,False,1.6259675000037532,1.625969199987594,261,47,1614924300,44924300,1,
douyin-train-000719,douyin,train,719,56697889278,生活日杂,我的鲜花饼前天就到了,0,该用户想表达的含义是：我之前在这买的鲜花饼已经收到了，对商品配送速度感到满意。,1004,"[""中午好"", ""知道了"", ""小贝小贝斐乐的鞋"", ""家电啥时候返场啊"", ""我的鲜花饼到了""]",structured_v2,e41a31b55c5e9ea305a462cf334a72f2c6db41661e3f368ca105c6aac8968f12,8335ab940176613a93c0350449eaed6b7cae2eb6b3aa35989fe756f8114dd570,对象：鲜花饼；言语行为：告知；原句证据：我的鲜花饼前天就到了,对象：鲜花饼；言语行为：告知；原句证据：我的鲜花饼前天就到了,鲜花饼,告知,我的鲜花饼前天就到了,True,,False,0.9064703999902122,0.9064727000077255,245,26,897858300,33655400,1,
